numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
109,"Según el estatuto de personal no sanitario, ¿quién tiene misión de informar a los familiares de los pacientes fallecidos en la institución, sobre los trámites precisos para llevar a cabo inhumación y/o cremación y si es necesario los pondrán en contacto con la oficina administrativa correspondiente para completar dicha información?",El médico responsable del paciente.,El enfermero responsable del paciente.,El jefe de personal subalterno.,El celador/a de la unidad. Respuesta Correcta: C Página 27 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,C,El jefe de personal subalterno.,"109. Según el estatuto de personal no sanitario, ¿quién tiene misión de informar a los familiares de los pacientes
fallecidos en la institución, sobre los trámites precisos para llevar a cabo inhumación y/o cremación y si es
necesario los pondrán en contacto con la oficina administrativa correspondiente para completar dicha
información?
A) El médico responsable del paciente.
B) El enfermero responsable del paciente.
C) El jefe de personal subalterno.
D) El celador/a de la unidad.
Respuesta Correcta: C
Página 27 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
110,La actuación de los celadores/ras en relación con los pacientes fallecidos se centrará en,Ayudar el personal sanitario en el amortajamiento.,Trasladar el cadáver al mortuorio.,Se encargará de amortajar a los enfermos fallecidos.,Las respuestas A y B son correctas. Respuesta Correcta: D,D,Las respuestas A y B son correctas. Respuesta Correcta: D,"110. La actuación de los celadores/ras en relación con los pacientes fallecidos se centrará en:
A) Ayudar el personal sanitario en el amortajamiento.
B) Trasladar el cadáver al mortuorio.
C) Se encargará de amortajar a los enfermos fallecidos.
D) Las respuestas A y B son correctas.
Respuesta Correcta: D"
111,¿En qué consiste el amortajamiento cuando un paciente fallece?,Desconectar y retirar dispositivos como sondas y catéteres.,Retirar objetos personales del cuerpo.,Cerrar los ojos y boca del cadáver.,Todas las respuestas son correctas. Respuesta Correcta: D,D,Todas las respuestas son correctas. Respuesta Correcta: D,"111. ¿En qué consiste el amortajamiento cuando un paciente fallece?
A) Desconectar y retirar dispositivos como sondas y catéteres.
B) Retirar objetos personales del cuerpo.
C) Cerrar los ojos y boca del cadáver.
D) Todas las respuestas son correctas.
Respuesta Correcta: D"
112,"El complejo de la zona mortuoria debe reunir una serie de condiciones, ¿cuál de las siguientes NO se encuentra entre ellas?",Zonas de aparcamiento para familiares.,Estancias para familiares.,Espacios para recepción de cadáveres.,Despachos para manejo de documentos. Respuesta Correcta: A,A,Zonas de aparcamiento para familiares.,"112. El complejo de la zona mortuoria debe reunir una serie de condiciones, ¿cuál de las siguientes NO se encuentra
entre ellas?
A) Zonas de aparcamiento para familiares.
B) Estancias para familiares.
C) Espacios para recepción de cadáveres.
D) Despachos para manejo de documentos.
Respuesta Correcta: A"
113,¿Qué temperatura es la adecuada en el depósito de cadáveres si el paciente va a estar unos días?,4ºC.,6ºC.,5ºC.,2ºC. Respuesta Correcta: A,A,4ºC.,"113. ¿Qué temperatura es la adecuada en el depósito de cadáveres si el paciente va a estar unos días?
A) 4ºC.
B) 6ºC.
C) 5ºC.
D) 2ºC.
Respuesta Correcta: A"
114,"Una celadora está ayudando a una enfermera a amortajar un cadáver para su traslado al mortuorio. Cuando la enfermera le indica que retire la sonda vesical del cadáver, ¿cómo debe actuar la celadora? Página 28 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",Se pondrá los guantes y la retirará con cuidado para no romperla.,Le indicará a la enfermera que esa no es su función.,Le pedirá a la enfermera que antes le vacíe el globo vesical.,Hará lo que le indica la enfermera ya que el trabajo en equipo es fundamental. Respuesta Correcta: B,B,Le indicará a la enfermera que esa no es su función.,"114. Una celadora está ayudando a una enfermera a amortajar un cadáver para su traslado al mortuorio. Cuando la
enfermera le indica que retire la sonda vesical del cadáver, ¿cómo debe actuar la celadora?
Página 28 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) Se pondrá los guantes y la retirará con cuidado para no romperla.
B) Le indicará a la enfermera que esa no es su función.
C) Le pedirá a la enfermera que antes le vacíe el globo vesical.
D) Hará lo que le indica la enfermera ya que el trabajo en equipo es fundamental.
Respuesta Correcta: B"
115,"Cuando hablamos del conjunto de operaciones encaminadas a investigar lesiones capaces de producir muerte, nos referimos a",Técnica de Virchow.,Técnica de Chon.,Técnica de Letulle.,Técnica de autopsia. Respuesta Correcta: D,D,Técnica de autopsia. Respuesta Correcta: D,"115. Cuando hablamos del conjunto de operaciones encaminadas a investigar lesiones capaces de producir muerte,
nos referimos a:
A) Técnica de Virchow.
B) Técnica de Chon.
C) Técnica de Letulle.
D) Técnica de autopsia.
Respuesta Correcta: D"
116,¿Cuál de las siguientes técnicas de autopsia es la que se usa con más frecuencia en los hospitales?,Técnica de Letulle.,Técnica de Chon.,Técnica de Virchow.,Ninguna de las opciones anteriores es correcta. Respuesta Correcta: C,C,Técnica de Virchow.,"116. ¿Cuál de las siguientes técnicas de autopsia es la que se usa con más frecuencia en los hospitales?
A) Técnica de Letulle.
B) Técnica de Chon.
C) Técnica de Virchow.
D) Ninguna de las opciones anteriores es correcta.
Respuesta Correcta: C"
117,"¿Cuáles de los siguientes, son requisitos administrativos para realizar una autopsia clínica?",Datos de identificación y ubicación o procedencia del paciente.,Resumen de la historia clínica.,Anotaciones sobre la posible causa de la muerte.,Todas las respuestas anteriores son correctas. Respuesta Correcta: D,D,Todas las respuestas anteriores son correctas. Respuesta Correcta: D,"117. ¿Cuáles de los siguientes, son requisitos administrativos para realizar una autopsia clínica?
A) Datos de identificación y ubicación o procedencia del paciente.
B) Resumen de la historia clínica.
C) Anotaciones sobre la posible causa de la muerte.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: D"
118,La autopsia médico legal se denomina también,"Las respuestas B, C y D son correctas.",Judicial. Página 29 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,Forense.,Médico forenses u obducción. Respuesta Correcta: A,A,"Las respuestas B, C y D son correctas.","118. La autopsia médico legal se denomina también:
A) Las respuestas B, C y D son correctas.
B) Judicial.
Página 29 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
C) Forense.
D) Médico forenses u obducción.
Respuesta Correcta: A"
119,¿Cuál de las siguientes son causas de autopsia médico legal de acuerdo con las normas internacionales y lo establecido en nuestra legislación?,Muertes violentas.,Muertes no violentas.,Todas las opciones son correctas.,Muertes misceláneas. Respuesta Correcta: C,C,Todas las opciones son correctas.,"119. ¿Cuál de las siguientes son causas de autopsia médico legal de acuerdo con las normas internacionales y lo
establecido en nuestra legislación?
A) Muertes violentas.
B) Muertes no violentas.
C) Todas las opciones son correctas.
D) Muertes misceláneas.
Respuesta Correcta: C"
120,"¿Qué resolución regula el puesto de celador/a especifico en salas de autopsia denominado ""celador auxiliar de autopsias""?",Resolución 17 de septiembre de 1985.,Resolución 10 de marzo de 1996.,Resolución 22 de mayo de 1981.,Resolución 31 de enero de 1980. Respuesta Correcta: C,C,Resolución 22 de mayo de 1981.,"120. ¿Qué resolución regula el puesto de celador/a especifico en salas de autopsia denominado ""celador auxiliar de
autopsias""?
A) Resolución 17 de septiembre de 1985.
B) Resolución 10 de marzo de 1996.
C) Resolución 22 de mayo de 1981.
D) Resolución 31 de enero de 1980.
Respuesta Correcta: C"
121,¿Cuál de las siguientes respuestas es incorrecta en cuanto a las funciones del celador/a auxiliar de autopsias?,Transporte del cadáver desde el depósito hasta la mesa de autopsias.,Auxiliar al médico durante la autopsia.,"Llamará al servicio de limpieza para que al finalizar limpie la mesa, la sala y el material de autopsias.",Vigilar que no acceda a estas dependencias más que el personal autorizado para ello. Respuesta Correcta: C,C,"Llamará al servicio de limpieza para que al finalizar limpie la mesa, la sala y el material de autopsias.","121. ¿Cuál de las siguientes respuestas es incorrecta en cuanto a las funciones del celador/a auxiliar de autopsias?
A) Transporte del cadáver desde el depósito hasta la mesa de autopsias.
B) Auxiliar al médico durante la autopsia.
C) Llamará al servicio de limpieza para que al finalizar limpie la mesa, la sala y el material de autopsias.
D) Vigilar que no acceda a estas dependencias más que el personal autorizado para ello.
Respuesta Correcta: C"
122,Las dimensiones de la mesa de autopsias deben ser,"1,90 m de longitud x 0,60 m de ancho.","2,20 m de longitud x 0,90 m de ancho.","1,80 m de longitud x 0,70 m de ancho. Página 30 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu","2,10 m de longitud x 0,75 m de ancho. Respuesta Correcta: D",D,"2,10 m de longitud x 0,75 m de ancho. Respuesta Correcta: D","122. Las dimensiones de la mesa de autopsias deben ser:
A) 1,90 m de longitud x 0,60 m de ancho.
B) 2,20 m de longitud x 0,90 m de ancho.
C) 1,80 m de longitud x 0,70 m de ancho.
Página 30 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
D) 2,10 m de longitud x 0,75 m de ancho.
Respuesta Correcta: D"
123,Dentro del material inicial de una autopsia común se encuentra,Instrumentos para seccionar partes blandas y cartílagos.,Instrumentos de prensa.,Instrumentos de medición.,Todas son correctas. Respuesta Correcta: D,D,Todas son correctas. Respuesta Correcta: D,"123. Dentro del material inicial de una autopsia común se encuentra:
A) Instrumentos para seccionar partes blandas y cartílagos.
B) Instrumentos de prensa.
C) Instrumentos de medición.
D) Todas son correctas.
Respuesta Correcta: D"
124,"En el servicio de farmacia hospitalaria, ¿qué profesionales prestan servicio?",Farmacéuticos.,FIR (farmacéutico interno residente).,DUE / TCAE / celador/a.,Todas son correctas. Respuesta Correcta: D,D,Todas son correctas. Respuesta Correcta: D,"124. En el servicio de farmacia hospitalaria, ¿qué profesionales prestan servicio?
A) Farmacéuticos.
B) FIR (farmacéutico interno residente).
C) DUE / TCAE / celador/a.
D) Todas son correctas.
Respuesta Correcta: D"
125,"Si nos referimos a; toda materia, cualquiera que sea su origen a la que se le atribuye una actividad apropiada para constituir un medicamento, estamos hablando de",Excipiente.,Materia prima.,Fórmula magistral.,Principio activo. Respuesta Correcta: D,D,Principio activo. Respuesta Correcta: D,"125. Si nos referimos a; toda materia, cualquiera que sea su origen a la que se le atribuye una actividad apropiada
para constituir un medicamento, estamos hablando de:
A) Excipiente.
B) Materia prima.
C) Fórmula magistral.
D) Principio activo.
Respuesta Correcta: D"
126,¿Cuál de las siguientes es la definición de excipiente?,Es el destinado a una posterior transformación industrial por un fabricante autorizado.,"Aquella materia que se añada a los principios activos para servirles de vehículo, posibilitar su preparación y estabilidad.",Todo medicamento que tenga la misma composición en principios activos y la misma forma farmacéutica.,Forma farmacéutica de un principio activo que se investiga como referencia de un ensayo clínico. Página 31 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: B,B,"Aquella materia que se añada a los principios activos para servirles de vehículo, posibilitar su preparación y estabilidad.","126. ¿Cuál de las siguientes es la definición de excipiente?
A) Es el destinado a una posterior transformación industrial por un fabricante autorizado.
B) Aquella materia que se añada a los principios activos para servirles de vehículo, posibilitar su preparación y
estabilidad.
C) Todo medicamento que tenga la misma composición en principios activos y la misma forma farmacéutica.
D) Forma farmacéutica de un principio activo que se investiga como referencia de un ensayo clínico.
Página 31 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: B"
127,"""Actividad de salud pública que tiene como objetivo la identificación, cuantificación, evaluación y prevención de riesgos del uso de los medicamentos, permitiendo así el seguimiento de los posibles efectos adversos de los medicamentos"", es la definición de",Radiofármaco.,Farmacovigilancia.,Preparado o fórmula oficial.,Ninguna es correcta. Respuesta Correcta: B,B,Farmacovigilancia.,"127. ""Actividad de salud pública que tiene como objetivo la identificación, cuantificación, evaluación y prevención de
riesgos del uso de los medicamentos, permitiendo así el seguimiento de los posibles efectos adversos de los
medicamentos"", es la definición de:
A) Radiofármaco.
B) Farmacovigilancia.
C) Preparado o fórmula oficial.
D) Ninguna es correcta.
Respuesta Correcta: B"
128,¿Cuál de las siguientes opciones es la incorrecta con respecto al área de citostáticos de una farmacia hospitalaria?,Es una zona aislada del resto del servicio.,Es de acceso libre siempre que se utilicen calzas y gorro.,Debe poseer una campaña de flujo laminar vertical.,Sin recirculación de aire ni aire acondicionado. Respuesta Correcta: B,B,Es de acceso libre siempre que se utilicen calzas y gorro.,"128. ¿Cuál de las siguientes opciones es la incorrecta con respecto al área de citostáticos de una farmacia
hospitalaria?
A) Es una zona aislada del resto del servicio.
B) Es de acceso libre siempre que se utilicen calzas y gorro.
C) Debe poseer una campaña de flujo laminar vertical.
D) Sin recirculación de aire ni aire acondicionado.
Respuesta Correcta: B"
